Year,Economy,Economy Label,CommercialMarket,CommercialMarket Label,Number of port calls,Number of port calls Footnote,Number of port calls Missing value
2018,0000,"World",03,"Container ships",454016,,
2018,0000,"World",01,"Passenger ships",2227407,,
2018,5100,"Africa",00,"All ships",93340,,
2018,5100,"Africa",02,"Liquid bulk carriers",12477,,
2018,5100,"Africa",07,"Liquefied petroleum gas carriers",1954,,
2018,5100,"Africa",08,"Liquefied natural gas carriers",581,,
2018,5100,"Africa",05,"Dry bulk carriers",13309,,
2018,5100,"Africa",04,"Dry breakbulk carriers",16206,,
2018,5100,"Africa",06,"Roll-on/ roll-off ships",7227,,
2018,5100,"Africa",03,"Container ships",21712,,
2018,5100,"Africa",01,"Passenger ships",19874,,
2018,5110,"Northern Africa",00,"All ships",48274,,
2018,5110,"Northern Africa",02,"Liquid bulk carriers",4642,,
2018,5110,"Northern Africa",07,"Liquefied petroleum gas carriers",1127,,
2018,5110,"Northern Africa",08,"Liquefied natural gas carriers",163,,
2018,5110,"Northern Africa",05,"Dry bulk carriers",4559,,
2018,5110,"Northern Africa",04,"Dry breakbulk carriers",8073,,
2018,5110,"Northern Africa",06,"Roll-on/ roll-off ships",4303,,
2018,5110,"Northern Africa",03,"Container ships",9412,,
2018,5110,"Northern Africa",01,"Passenger ships",15995,,
2018,5120,"Sub-Saharan Africa",00,"All ships",45066,,
2018,5120,"Sub-Saharan Africa",02,"Liquid bulk carriers",7835,,
2018,5120,"Sub-Saharan Africa",07,"Liquefied petroleum gas carriers",827,,
2018,5120,"Sub-Saharan Africa",08,"Liquefied natural gas carriers",418,,
2018,5120,"Sub-Saharan Africa",05,"Dry bulk carriers",8750,,
2018,5120,"Sub-Saharan Africa",04,"Dry breakbulk carriers",8133,,
2018,5120,"Sub-Saharan Africa",06,"Roll-on/ roll-off ships",2924,,
2018,5120,"Sub-Saharan Africa",03,"Container ships",12300,,
2018,5120,"Sub-Saharan Africa",01,"Passenger ships",3879,,
2018,5121,"Eastern Africa",00,"All ships",9795,,
2018,5121,"Eastern Africa",02,"Liquid bulk carriers",1706,,
2018,5121,"Eastern Africa",07,"Liquefied petroleum gas carriers",30,,
2018,5121,"Eastern Africa",08,"Liquefied natural gas carriers",,,"Not available or not separately reported"
2018,5121,"Eastern Africa",05,"Dry bulk carriers",1676,,
2018,5121,"Eastern Africa",04,"Dry breakbulk carriers",1892,,
2018,5121,"Eastern Africa",06,"Roll-on/ roll-off ships",719,,
2018,5121,"Eastern Africa",03,"Container ships",3224,,
2018,5121,"Eastern Africa",01,"Passenger ships",548,,
2018,5122,"Middle Africa",00,"All ships",5567,,
2018,5122,"Middle Africa",02,"Liquid bulk carriers",1066,,
2018,5122,"Middle Africa",07,"Liquefied petroleum gas carriers",288,,
2018,5122,"Middle Africa",08,"Liquefied natural gas carriers",114,,
2018,5122,"Middle Africa",05,"Dry bulk carriers",696,,
2018,5122,"Middle Africa",04,"Dry breakbulk carriers",1770,,
2018,5122,"Middle Africa",06,"Roll-on/ roll-off ships",238,,
2018,5122,"Middle Africa",03,"Container ships",1332,,
2018,5122,"Middle Africa",01,"Passenger ships",63,,
2018,5123,"Southern Africa",00,"All ships",9191,,
2018,5123,"Southern Africa",02,"Liquid bulk carriers",1535,,
2018,5123,"Southern Africa",07,"Liquefied petroleum gas carriers",136,,
2018,5123,"Southern Africa",08,"Liquefied natural gas carriers",,,"Not available or not separately reported"
2018,5123,"Southern Africa",05,"Dry bulk carriers",3298,,
2018,5123,"Southern Africa",04,"Dry breakbulk carriers",1030,,
2018,5123,"Southern Africa",06,"Roll-on/ roll-off ships",615,,
2018,5123,"Southern Africa",03,"Container ships",2404,,
2018,5123,"Southern Africa",01,"Passenger ships",173,,
2018,5124,"Western Africa",00,"All ships",20513,,
2018,5124,"Western Africa",02,"Liquid bulk carriers",3528,,
2018,5124,"Western Africa",07,"Liquefied petroleum gas carriers",373,,
2018,5124,"Western Africa",08,"Liquefied natural gas carriers",304,,
2018,5124,"Western Africa",05,"Dry bulk carriers",3080,,
2018,5124,"Western Africa",04,"Dry breakbulk carriers",3441,,
2018,5124,"Western Africa",06,"Roll-on/ roll-off ships",1352,,
2018,5124,"Western Africa",03,"Container ships",5340,,
2018,5124,"Western Africa",01,"Passenger ships",3095,,
2018,5200,"Americas",00,"All ships",535288,,
2018,5200,"Americas",02,"Liquid bulk carriers",61233,,
2018,5200,"Americas",07,"Liquefied petroleum gas carriers",5359,,
2018,5200,"Americas",08,"Liquefied natural gas carriers",940,,
2018,5200,"Americas",05,"Dry bulk carriers",52973,,
2018,5200,"Americas",04,"Dry breakbulk carriers",29994,,
2018,5200,"Americas",06,"Roll-on/ roll-off ships",19150,,
2018,5200,"Americas",03,"Container ships",59232,,
2018,5200,"Americas",01,"Passenger ships",306407,,
2018,5210,"Northern America",00,"All ships",371456,,
2018,5210,"Northern America",02,"Liquid bulk carriers",26732,,
2018,5210,"Northern America",07,"Liquefied petroleum gas carriers",1787,,
2018,5210,"Northern America",08,"Liquefied natural gas carriers",470,,
2018,5210,"Northern America",05,"Dry bulk carriers",29272,,
2018,5210,"Northern America",04,"Dry breakbulk carriers",11394,,
2018,5210,"Northern America",06,"Roll-on/ roll-off ships",11133,,
2018,5210,"Northern America",03,"Container ships",21948,,
2018,5210,"Northern America",01,"Passenger ships",268720,,
2018,5220,"Latin America and the Caribbean",00,"All ships",163832,,
2018,5220,"Latin America and the Caribbean",02,"Liquid bulk carriers",34501,,
2018,5220,"Latin America and the Caribbean",07,"Liquefied petroleum gas carriers",3572,,
2018,5220,"Latin America and the Caribbean",08,"Liquefied natural gas carriers",470,,
2018,5220,"Latin America and the Caribbean",05,"Dry bulk carriers",23701,,
