Year,Economy,Economy Label,CommercialMarket,CommercialMarket Label,Median time in port (days),Median time in port (days) Footnote,Median time in port (days) Missing value,Average age of vessels (years),Average age of vessels (years) Footnote,Average age of vessels (years) Missing value,Average size (GT) of vessels,Average size (GT) of vessels Footnote,Average size (GT) of vessels Missing value,Average cargo carrying capacity (dwt) per vessel,Average cargo carrying capacity (dwt) per vessel Footnote,Average cargo carrying capacity (dwt) per vessel Missing value,Average container carrying capacity (TEU) per container ship,Average container carrying capacity (TEU) per container ship Footnote,Average container carrying capacity (TEU) per container ship Missing value,Maximum size (GT) of vessels,Maximum size (GT) of vessels Footnote,Maximum size (GT) of vessels Missing value,Maximum cargo carrying capacity (dwt) of vessels,Maximum cargo carrying capacity (dwt) of vessels Footnote,Maximum cargo carrying capacity (dwt) of vessels Missing value,Maximum container carrying capacity (TEU) of container ships,Maximum container carrying capacity (TEU) of container ships Footnote,Maximum container carrying capacity (TEU) of container ships Missing value
2021,124,"Canada",03,"Container ships",1.8108,,,15,,,56008,,,,,"Not available or not separately reported",5073,,,176546,,,,,"Not available or not separately reported",16022,,
2021,124,"Canada",01,"Passenger ships",,,"Not available or not separately reported",29,,,6279,,,,,"Not available or not separately reported",,,"Not available or not separately reported",30285,,,,,"Not available or not separately reported",,,"Not available or not separately reported"
2021,156,"China",00,"All ships",1.15,,,13,,,31075,,,45243,,,4401,,,237200,,,404389,,,23992,,
2021,156,"China",02,"Liquid bulk carriers",1.1458,,,12,,,19543,,,34011,,,,,"Not available or not separately reported",170618,,,323183,,,,,"Not available or not separately reported"
2021,156,"China",07,"Liquefied petroleum gas carriers",1.0417,,,14,,,9412,,,10249,,,,,"Not available or not separately reported",61000,,,64220,,,,,"Not available or not separately reported"
2021,156,"China",08,"Liquefied natural gas carriers",1.1906,,,9,,,96008,,,76438,,,,,"Not available or not separately reported",168189,,,155159,,,,,"Not available or not separately reported"
2021,156,"China",05,"Dry bulk carriers",2.0438,,,14,,,40869,,,74396,,,,,"Not available or not separately reported",204014,,,404389,,,,,"Not available or not separately reported"
2021,156,"China",04,"Dry breakbulk carriers",1.4965,,,17,,,10165,,,14306,,,,,"Not available or not separately reported",91649,,,103652,,,,,"Not available or not separately reported"
2021,156,"China",06,"Roll-on/ roll-off ships",,,"Not available or not separately reported",12,,,32386,,,11260,,,,,"Not available or not separately reported",76420,,,43878,,,,,"Not available or not separately reported"
2021,156,"China",03,"Container ships",0.7278,,,13,,,47249,,,,,"Not available or not separately reported",4401,,,237200,,,,,"Not available or not separately reported",23992,,
2021,156,"China",01,"Passenger ships",,,"Not available or not separately reported",14,,,14420,,,,,"Not available or not separately reported",,,"Not available or not separately reported",85861,,,,,"Not available or not separately reported",,,"Not available or not separately reported"
2021,191,"Croatia",00,"All ships",1.1708,,,16,,,3565,,,15990,,,3635,,,163922,,,182421,,,15226,,
2021,191,"Croatia",02,"Liquid bulk carriers",0.9063,,,15,,,14919,,,25471,,,,,"Not available or not separately reported",84315,,,166300,,,,,"Not available or not separately reported"
2021,191,"Croatia",08,"Liquefied natural gas carriers",1.5611,,,8,,,118462,,,95783,,,,,"Not available or not separately reported",163922,,,130441,,,,,"Not available or not separately reported"
2021,191,"Croatia",05,"Dry bulk carriers",2.501,,,28,,,11426,,,19336,,,,,"Not available or not separately reported",93302,,,182421,,,,,"Not available or not separately reported"
2021,191,"Croatia",04,"Dry breakbulk carriers",2.4899,,,23,,,4671,,,6306,,,,,"Not available or not separately reported",66870,,,88272,,,,,"Not available or not separately reported"
2021,191,"Croatia",03,"Container ships",0.5951,,,14,,,38415,,,,,"Not available or not separately reported",3635,,,153744,,,,,"Not available or not separately reported",15226,,
2021,191,"Croatia",01,"Passenger ships",,,"Not available or not separately reported",16,,,3214,,,,,"Not available or not separately reported",,,"Not available or not separately reported",155873,,,,,"Not available or not separately reported",,,"Not available or not separately reported"
2021,208,"Denmark",00,"All ships",0.7507,,,20,,,9563,,,7275,,,1932,,,214286,,,167282,,,19630,,
2021,208,"Denmark",02,"Liquid bulk carriers",0.6924,,,17,,,8234,,,13066,,,,,"Not available or not separately reported",93759,,,167282,,,,,"Not available or not separately reported"
2021,208,"Denmark",07,"Liquefied petroleum gas carriers",1.1035,,,11,,,3717,,,4140,,,,,"Not available or not separately reported",5452,,,5955,,,,,"Not available or not separately reported"
2021,208,"Denmark",05,"Dry bulk carriers",0.8285,,,11,,,8186,,,13298,,,,,"Not available or not separately reported",66786,,,120566,,,,,"Not available or not separately reported"
2021,208,"Denmark",04,"Dry breakbulk carriers",0.8507,,,24,,,3186,,,4313,,,,,"Not available or not separately reported",49091,,,63581,,,,,"Not available or not separately reported"
2021,208,"Denmark",06,"Roll-on/ roll-off ships",,,"Not available or not separately reported",20,,,22242,,,10745,,,,,"Not available or not separately reported",65148,,,34960,,,,,"Not available or not separately reported"
2021,208,"Denmark",03,"Container ships",0.5056,,,15,,,21530,,,,,"Not available or not separately reported",1932,,,214286,,,,,"Not available or not separately reported",19630,,
2021,208,"Denmark",01,"Passenger ships",,,"Not available or not separately reported",20,,,9904,,,,,"Not available or not separately reported",,,"Not available or not separately reported",125572,,,,,"Not available or not separately reported",,,"Not available or not separately reported"
2021,251,"France",00,"All ships",1.1632,,,17,,,21464,,,16120,,,5105,,,237200,,,319702,,,23964,,
2021,251,"France",02,"Liquid bulk carriers",1.025,,,13,,,11048,,,18348,,,,,"Not available or not separately reported",167462,,,319702,,,,,"Not available or not separately reported"
2021,251,"France",07,"Liquefied petroleum gas carriers",1.0806,,,12,,,9365,,,10491,,,,,"Not available or not separately reported",48963,,,55047,,,,,"Not available or not separately reported"
2021,251,"France",08,"Liquefied natural gas carriers",1.1243,,,10,,,98336,,,75779,,,,,"Not available or not separately reported",141671,,,121910,,,,,"Not available or not separately reported"
2021,251,"France",05,"Dry bulk carriers",2.9604,,,14,,,25272,,,44753,,,,,"Not available or not separately reported",107450,,,208822,,,,,"Not available or not separately reported"
2021,251,"France",04,"Dry breakbulk carriers",1.5681,,,18,,,4642,,,6424,,,,,"Not available or not separately reported",44684,,,72562,,,,,"Not available or not separately reported"
2021,251,"France",06,"Roll-on/ roll-off ships",,,"Not available or not separately reported",17,,,29527,,,12235,,,,,"Not available or not separately reported",76420,,,48988,,,,,"Not available or not separately reported"
2021,251,"France",03,"Container ships",0.9563,,,14,,,56024,,,,,"Not available or not separately reported",5105,,,237200,,,,,"Not available or not separately reported",23964,,
2021,251,"France",01,"Passenger ships",,,"Not available or not separately reported",18,,,22509,,,,,"Not available or not separately reported",,,"Not available or not separately reported",228199,,,,,"Not available or not separately reported",,,"Not available or not separately reported"
2021,276,"Germany",00,"All ships",0.8389,,,19,,,13557,,,9279,,,4497,,,237200,,,308000,,,23992,,
2021,276,"Germany",02,"Liquid bulk carriers",0.5535,,,17,,,4924,,,7994,,,,,"Not available or not separately reported",163262,,,308000,,,,,"Not available or not separately reported"
2021,276,"Germany",07,"Liquefied petroleum gas carriers",0.8722,,,14,,,5294,,,5862,,,,,"Not available or not separately reported",35158,,,44617,,,,,"Not available or not separately reported"
2021,276,"Germany",05,"Dry bulk carriers",2.4993,,,12,,,30241,,,52613,,,,,"Not available or not separately reported",107761,,,209756,,,,,"Not available or not separately reported"
2021,276,"Germany",04,"Dry breakbulk carriers",0.8514,,,21,,,3634,,,4867,,,,,"Not available or not separately reported",44684,,,71460,,,,,"Not available or not separately reported"
2021,276,"Germany",06,"Roll-on/ roll-off ships",,,"Not available or not separately reported",17,,,30802,,,12263,,,,,"Not available or not separately reported",100430,,,55828,,,,,"Not available or not separately reported"
2021,276,"Germany",03,"Container ships",1.1306,,,13,,,49641,,,,,"Not available or not separately reported",4497,,,237200,,,,,"Not available or not separately reported",23992,,
2021,276,"Germany",01,"Passenger ships",,,"Not available or not separately reported",20,,,11410,,,,,"Not available or not separately reported",,,"Not available or not separately reported",183200,,,,,"Not available or not separately reported",,,"Not available or not separately reported"
2021,300,"Greece",00,"All ships",0.8479,,,22,,,8251,,,7669,,,4235,,,226963,,,166300,,,21413,,
2021,300,"Greece",02,"Liquid bulk carriers",0.6153,,,22,,,5753,,,9172,,,,,"Not available or not separately reported",86990,,,166300,,,,,"Not available or not separately reported"
2021,300,"Greece",07,"Liquefied petroleum gas carriers",0.9944,,,24,,,5373,,,6316,,,,,"Not available or not separately reported",47774,,,54304,,,,,"Not available or not separately reported"
2021,300,"Greece",08,"Liquefied natural gas carriers",1.2042,,,10,,,98074,,,77869,,,,,"Not available or not separately reported",136980,,,122052,,,,,"Not available or not separately reported"
2021,300,"Greece",05,"Dry bulk carriers",0.6417,,,26,,,6661,,,11147,,,,,"Not available or not separately reported",48021,,,88279,,,,,"Not available or not separately reported"
2021,300,"Greece",04,"Dry breakbulk carriers",1.1465,,,33,,,2744,,,3828,,,,,"Not available or not separately reported",41580,,,55802,,,,,"Not available or not separately reported"
2021,300,"Greece",06,"Roll-on/ roll-off ships",,,"Not available or not separately reported",34,,,15881,,,6664,,,,,"Not available or not separately reported",76420,,,48988,,,,,"Not available or not separately reported"
2021,300,"Greece",03,"Container ships",1.0465,,,16,,,45184,,,,,"Not available or not separately reported",4235,,,219688,,,,,"Not available or not separately reported",21413,,
2021,300,"Greece",01,"Passenger ships",,,"Not available or not separately reported",21,,,7507,,,,,"Not available or not separately reported",,,"Not available or not separately reported",226963,,,,,"Not available or not separately reported",,,"Not available or not separately reported"
2021,360,"Indonesia",00,"All ships",1.2896,,,20,,,7904,,,16989,,,1218,,,161833,,,320122,,,6921,,
2021,360,"Indonesia",02,"Liquid bulk carriers",1.3042,,,15,,,9026,,,14221,,,,,"Not available or not separately reported",161833,,,320122,,,,,"Not available or not separately reported"
2021,360,"Indonesia",07,"Liquefied petroleum gas carriers",1.0771,,,19,,,9256,,,10091,,,,,"Not available or not separately reported",51035,,,58899,,,,,"Not available or not separately reported"
2021,360,"Indonesia",08,"Liquefied natural gas carriers",1.4229,,,18,,,88669,,,70289,,,,,"Not available or not separately reported",136740,,,97730,,,,,"Not available or not separately reported"
2021,360,"Indonesia",05,"Dry bulk carriers",2.8042,,,17,,,25551,,,44904,,,,,"Not available or not separately reported",108100,,,209801,,,,,"Not available or not separately reported"
2021,360,"Indonesia",04,"Dry breakbulk carriers",1.1826,,,21,,,5063,,,6759,,,,,"Not available or not separately reported",57934,,,72562,,,,,"Not available or not separately reported"
2021,360,"Indonesia",06,"Roll-on/ roll-off ships",,,"Not available or not separately reported",32,,,9284,,,4194,,,,,"Not available or not separately reported",75206,,,28061,,,,,"Not available or not separately reported"
2021,360,"Indonesia",03,"Container ships",1.0639,,,15,,,13513,,,,,"Not available or not separately reported",1218,,,76067,,,,,"Not available or not separately reported",6921,,
2021,360,"Indonesia",01,"Passenger ships",,,"Not available or not separately reported",22,,,5175,,,,,"Not available or not separately reported",,,"Not available or not separately reported",20563,,,,,"Not available or not separately reported",,,"Not available or not separately reported"
2021,380,"Italy",00,"All ships",1.3444,,,28,,,9752,,,18804,,,3642,,,232618,,,211182,,,23964,,
2021,380,"Italy",02,"Liquid bulk carriers",1.2847,,,18,,,16844,,,28530,,,,,"Not available or not separately reported",87146,,,166092,,,,,"Not available or not separately reported"
2021,380,"Italy",07,"Liquefied petroleum gas carriers",1.6403,,,14,,,8394,,,9543,,,,,"Not available or not separately reported",44673,,,49996,,,,,"Not available or not separately reported"
2021,380,"Italy",05,"Dry bulk carriers",3.4951,,,15,,,22540,,,38524,,,,,"Not available or not separately reported",109716,,,211182,,,,,"Not available or not separately reported"
2021,380,"Italy",04,"Dry breakbulk carriers",1.9674,,,20,,,5985,,,8261,,,,,"Not available or not separately reported",41416,,,62823,,,,,"Not available or not separately reported"
2021,380,"Italy",06,"Roll-on/ roll-off ships",,,"Not available or not separately reported",13,,,33606,,,13066,,,,,"Not available or not separately reported",76420,,,45200,,,,,"Not available or not separately reported"
2021,380,"Italy",03,"Container ships",0.9639,,,16,,,39638,,,,,"Not available or not separately reported",3642,,,232618,,,,,"Not available or not separately reported",23964,,
2021,380,"Italy",01,"Passenger ships",,,"Not available or not separately reported",30,,,7046,,,,,"Not available or not separately reported",,,"Not available or not separately reported",226963,,,,,"Not available or not separately reported",,,"Not available or not separately reported"
2021,392,"Japan",00,"All ships",0.416,,,14,,,10420,,,14940,,,1541,,,228741,,,327017,,,21237,,
2021,392,"Japan",02,"Liquid bulk carriers",0.3111,,,12,,,7881,,,13300,,,,,"Not available or not separately reported",165571,,,322861,,,,,"Not available or not separately reported"
2021,392,"Japan",07,"Liquefied petroleum gas carriers",0.3187,,,13,,,6375,,,6893,,,,,"Not available or not separately reported",51035,,,58899,,,,,"Not available or not separately reported"
2021,392,"Japan",08,"Liquefied natural gas carriers",1.0278,,,13,,,73660,,,53212,,,,,"Not available or not separately reported",149367,,,122079,,,,,"Not available or not separately reported"
2021,392,"Japan",05,"Dry bulk carriers",0.8333,,,14,,,16812,,,29068,,,,,"Not available or not separately reported",161294,,,327017,,,,,"Not available or not separately reported"
2021,392,"Japan",04,"Dry breakbulk carriers",1.1944,,,15,,,6712,,,8914,,,,,"Not available or not separately reported",66870,,,80344,,,,,"Not available or not separately reported"
2021,392,"Japan",06,"Roll-on/ roll-off ships",,,"Not available or not separately reported",11,,,17558,,,7574,,,,,"Not available or not separately reported",76420,,,43878,,,,,"Not available or not separately reported"
2021,392,"Japan",03,"Container ships",0.3625,,,13,,,16069,,,,,"Not available or not separately reported",1541,,,228741,,,,,"Not available or not separately reported",21237,,
2021,392,"Japan",01,"Passenger ships",,,"Not available or not separately reported",15,,,4755,,,,,"Not available or not separately reported",,,"Not available or not separately reported",50444,,,,,"Not available or not separately reported",,,"Not available or not separately reported"
2021,410,"Korea, Republic of",00,"All ships",0.8938,,,15,,,19381,,,21476,,,2958,,,237200,,,326932,,,23992,,
2021,410,"Korea, Republic of",02,"Liquid bulk carriers",0.75,,,13,,,13647,,,23515,,,,,"Not available or not separately reported",170618,,,322861,,,,,"Not available or not separately reported"
2021,410,"Korea, Republic of",07,"Liquefied petroleum gas carriers",0.8188,,,15,,,7600,,,8325,,,,,"Not available or not separately reported",60000,,,62500,,,,,"Not available or not separately reported"
2021,410,"Korea, Republic of",08,"Liquefied natural gas carriers",1.0458,,,12,,,107580,,,85047,,,,,"Not available or not separately reported",168189,,,155159,,,,,"Not available or not separately reported"
2021,410,"Korea, Republic of",05,"Dry bulk carriers",2.1382,,,14,,,29341,,,52844,,,,,"Not available or not separately reported",173756,,,326932,,,,,"Not available or not separately reported"
2021,410,"Korea, Republic of",04,"Dry breakbulk carriers",1.1861,,,19,,,5277,,,7514,,,,,"Not available or not separately reported",91784,,,116173,,,,,"Not available or not separately reported"
2021,410,"Korea, Republic of",06,"Roll-on/ roll-off ships",,,"Not available or not separately reported",20,,,26351,,,10862,,,,,"Not available or not separately reported",76420,,,43878,,,,,"Not available or not separately reported"
2021,410,"Korea, Republic of",03,"Container ships",0.7153,,,14,,,31645,,,,,"Not available or not separately reported",2958,,,237200,,,,,"Not available or not separately reported",23992,,
2021,410,"Korea, Republic of",01,"Passenger ships",,,"Not available or not separately reported",12,,,16901,,,,,"Not available or not separately reported",,,"Not available or not separately reported",35187,,,,,"Not available or not separately reported",,,"Not available or not separately reported"
2021,528,"Netherlands (Kingdom of the)",00,"All ships",0.6187,,,17,,,12841,,,14119,,,2819,,,237200,,,324272,,,23992,,
2021,528,"Netherlands (Kingdom of the)",02,"Liquid bulk carriers",0.5688,,,17,,,9256,,,17036,,,,,"Not available or not separately reported",166094,,,320106,,,,,"Not available or not separately reported"
2021,528,"Netherlands (Kingdom of the)",07,"Liquefied petroleum gas carriers",0.951,,,15,,,6458,,,7114,,,,,"Not available or not separately reported",48714,,,58691,,,,,"Not available or not separately reported"
2021,528,"Netherlands (Kingdom of the)",08,"Liquefied natural gas carriers",1.0128,,,7,,,58538,,,45787,,,,,"Not available or not separately reported",163922,,,130441,,,,,"Not available or not separately reported"
2021,528,"Netherlands (Kingdom of the)",05,"Dry bulk carriers",1.2201,,,11,,,37250,,,66566,,,,,"Not available or not separately reported",173504,,,324272,,,,,"Not available or not separately reported"
2021,528,"Netherlands (Kingdom of the)",04,"Dry breakbulk carriers",0.4285,,,20,,,3944,,,5282,,,,,"Not available or not separately reported",49091,,,88272,,,,,"Not available or not separately reported"
2021,528,"Netherlands (Kingdom of the)",06,"Roll-on/ roll-off ships",,,"Not available or not separately reported",22,,,16749,,,6494,,,,,"Not available or not separately reported",76420,,,48988,,,,,"Not available or not separately reported"
2021,528,"Netherlands (Kingdom of the)",03,"Container ships",0.8882,,,15,,,30474,,,,,"Not available or not separately reported",2819,,,237200,,,,,"Not available or not separately reported",23992,,
2021,528,"Netherlands (Kingdom of the)",01,"Passenger ships",,,"Not available or not separately reported",14,,,14315,,,,,"Not available or not separately reported",,,"Not available or not separately reported",184089,,,,,"Not available or not separately reported",,,"Not available or not separately reported"
2021,579,"Norway",00,"All ships",0.416,,,13,,,3906,,,7267,,,834,,,184089,,,323183,,,2668,,
2021,579,"Norway",02,"Liquid bulk carriers",0.5986,,,15,,,11881,,,19263,,,,,"Not available or not separately reported",170618,,,323183,,,,,"Not available or not separately reported"
2021,579,"Norway",07,"Liquefied petroleum gas carriers",0.8455,,,10,,,10754,,,11890,,,,,"Not available or not separately reported",47057,,,54901,,,,,"Not available or not separately reported"
2021,579,"Norway",08,"Liquefied natural gas carriers",0.2903,,,15,,,5842,,,4682,,,,,"Not available or not separately reported",128806,,,96844,,,,,"Not available or not separately reported"
2021,579,"Norway",05,"Dry bulk carriers",0.8104,,,16,,,18320,,,30510,,,,,"Not available or not separately reported",109716,,,211182,,,,,"Not available or not separately reported"
2021,579,"Norway",04,"Dry breakbulk carriers",0.3257,,,24,,,2751,,,3294,,,,,"Not available or not separately reported",49091,,,63581,,,,,"Not available or not separately reported"
2021,579,"Norway",06,"Roll-on/ roll-off ships",,,"Not available or not separately reported",17,,,11264,,,6984,,,,,"Not available or not separately reported",70853,,,28092,,,,,"Not available or not separately reported"
2021,579,"Norway",03,"Container ships",0.3507,,,16,,,8796,,,,,"Not available or not separately reported",834,,,37071,,,,,"Not available or not separately reported",2668,,
2021,579,"Norway",01,"Passenger ships",,,"Not available or not separately reported",13,,,3749,,,,,"Not available or not separately reported",,,"Not available or not separately reported",184089,,,,,"Not available or not separately reported",,,"Not available or not separately reported"
2021,608,"Philippines",00,"All ships",0.975,,,19,,,7631,,,11844,,,1673,,,172521,,,326964,,,6258,,
2021,608,"Philippines",02,"Liquid bulk carriers",0.8646,,,12,,,7393,,,11740,,,,,"Not available or not separately reported",64000,,,110200,,,,,"Not available or not separately reported"
2021,608,"Philippines",07,"Liquefied petroleum gas carriers",0.8938,,,13,,,7424,,,8313,,,,,"Not available or not separately reported",50174,,,58814,,,,,"Not available or not separately reported"
2021,608,"Philippines",05,"Dry bulk carriers",4.2979,,,13,,,26935,,,47314,,,,,"Not available or not separately reported",172521,,,326964,,,,,"Not available or not separately reported"
2021,608,"Philippines",04,"Dry breakbulk carriers",0.9146,,,20,,,4084,,,5386,,,,,"Not available or not separately reported",38889,,,72562,,,,,"Not available or not separately reported"
2021,608,"Philippines",06,"Roll-on/ roll-off ships",,,"Not available or not separately reported",27,,,18959,,,7799,,,,,"Not available or not separately reported",72635,,,27200,,,,,"Not available or not separately reported"
2021,608,"Philippines",03,"Container ships",0.9403,,,16,,,17933,,,,,"Not available or not separately reported",1673,,,71821,,,,,"Not available or not separately reported",6258,,
2021,608,"Philippines",01,"Passenger ships",,,"Not available or not separately reported",21,,,3597,,,,,"Not available or not separately reported",,,"Not available or not separately reported",169116,,,,,"Not available or not separately reported",,,"Not available or not separately reported"
2021,643,"Russian Federation",00,"All ships",1.466,,,25,,,11522,,,16921,,,1500,,,136716,,,182820,,,7455,,
2021,643,"Russian Federation",02,"Liquid bulk carriers",1.1,,,23,,,13136,,,22168,,,,,"Not available or not separately reported",87146,,,167295,,,,,"Not available or not separately reported"
2021,643,"Russian Federation",07,"Liquefied petroleum gas carriers",1.5042,,,17,,,7944,,,9297,,,,,"Not available or not separately reported",18425,,,22911,,,,,"Not available or not separately reported"
2021,643,"Russian Federation",08,"Liquefied natural gas carriers",1.1396,,,10,,,95689,,,70933,,,,,"Not available or not separately reported",136716,,,97000,,,,,"Not available or not separately reported"
2021,643,"Russian Federation",05,"Dry bulk carriers",2.5062,,,15,,,26907,,,47052,,,,,"Not available or not separately reported",94970,,,182820,,,,,"Not available or not separately reported"
2021,643,"Russian Federation",04,"Dry breakbulk carriers",1.7729,,,31,,,4210,,,5478,,,,,"Not available or not separately reported",51821,,,80500,,,,,"Not available or not separately reported"
2021,643,"Russian Federation",06,"Roll-on/ roll-off ships",,,"Not available or not separately reported",30,,,13685,,,6614,,,,,"Not available or not separately reported",72705,,,22910,,,,,"Not available or not separately reported"
2021,643,"Russian Federation",03,"Container ships",1.5653,,,16,,,16620,,,,,"Not available or not separately reported",1500,,,85676,,,,,"Not available or not separately reported",7455,,
2021,643,"Russian Federation",01,"Passenger ships",,,"Not available or not separately reported",31,,,7093,,,,,"Not available or not separately reported",,,"Not available or not separately reported",12288,,,,,"Not available or not separately reported",,,"Not available or not separately reported"
2021,702,"Singapore",00,"All ships",,,"Not publishable",,,"Not publishable",,,"Not publishable",,,"Not publishable",,,"Not publishable",,,"Not publishable",,,"Not publishable",,,"Not publishable"
2021,702,"Singapore",02,"Liquid bulk carriers",,,"Not publishable",,,"Not publishable",,,"Not publishable",,,"Not publishable",,,"Not available or not separately reported",,,"Not publishable",,,"Not publishable",,,"Not available or not separately reported"
2021,702,"Singapore",07,"Liquefied petroleum gas carriers",,,"Not publishable",,,"Not publishable",,,"Not publishable",,,"Not publishable",,,"Not available or not separately reported",,,"Not publishable",,,"Not publishable",,,"Not available or not separately reported"
2021,702,"Singapore",08,"Liquefied natural gas carriers",,,"Not publishable",,,"Not publishable",,,"Not publishable",,,"Not publishable",,,"Not available or not separately reported",,,"Not publishable",,,"Not publishable",,,"Not available or not separately reported"
2021,702,"Singapore",05,"Dry bulk carriers",,,"Not publishable",,,"Not publishable",,,"Not publishable",,,"Not publishable",,,"Not available or not separately reported",,,"Not publishable",,,"Not publishable",,,"Not available or not separately reported"
2021,702,"Singapore",04,"Dry breakbulk carriers",,,"Not publishable",,,"Not publishable",,,"Not publishable",,,"Not publishable",,,"Not available or not separately reported",,,"Not publishable",,,"Not publishable",,,"Not available or not separately reported"
2021,702,"Singapore",06,"Roll-on/ roll-off ships",,,"Not available or not separately reported",,,"Not publishable",,,"Not publishable",,,"Not publishable",,,"Not available or not separately reported",,,"Not publishable",,,"Not publishable",,,"Not available or not separately reported"
2021,702,"Singapore",03,"Container ships",,,"Not publishable",,,"Not publishable",,,"Not publishable",,,"Not available or not separately reported",,,"Not publishable",,,"Not publishable",,,"Not available or not separately reported",,,"Not publishable"
2021,702,"Singapore",01,"Passenger ships",,,"Not available or not separately reported",,,"Not publishable",,,"Not publishable",,,"Not available or not separately reported",,,"Not available or not separately reported",,,"Not publishable",,,"Not available or not separately reported",,,"Not available or not separately reported"
2021,724,"Spain",00,"All ships",0.9014,,,17,,,15962,,,15000,,,3029,,,237200,,,211182,,,23964,,
2021,724,"Spain",02,"Liquid bulk carriers",0.9038,,,13,,,10917,,,17861,,,,,"Not available or not separately reported",88704,,,165209,,,,,"Not available or not separately reported"
2021,724,"Spain",07,"Liquefied petroleum gas carriers",1.0208,,,12,,,6724,,,7556,,,,,"Not available or not separately reported",48060,,,58691,,,,,"Not available or not separately reported"
2021,724,"Spain",08,"Liquefied natural gas carriers",1.0458,,,11,,,94636,,,74249,,,,,"Not available or not separately reported",163922,,,130441,,,,,"Not available or not separately reported"
2021,724,"Spain",05,"Dry bulk carriers",1.7819,,,16,,,23575,,,40995,,,,,"Not available or not separately reported",109716,,,211182,,,,,"Not available or not separately reported"
2021,724,"Spain",04,"Dry breakbulk carriers",1.1799,,,17,,,5059,,,7118,,,,,"Not available or not separately reported",66870,,,72562,,,,,"Not available or not separately reported"
2021,724,"Spain",06,"Roll-on/ roll-off ships",,,"Not available or not separately reported",15,,,25481,,,9345,,,,,"Not available or not separately reported",76420,,,48988,,,,,"Not available or not separately reported"
2021,724,"Spain",03,"Container ships",0.6507,,,15,,,32737,,,,,"Not available or not separately reported",3029,,,237200,,,,,"Not available or not separately reported",23964,,
2021,724,"Spain",01,"Passenger ships",,,"Not available or not separately reported",19,,,13767,,,,,"Not available or not separately reported",,,"Not available or not separately reported",228081,,,,,"Not available or not separately reported",,,"Not available or not separately reported"
2021,752,"Sweden",00,"All ships",0.7715,,,23,,,16366,,,8572,,,1579,,,214286,,,318227,,,19630,,
2021,752,"Sweden",02,"Liquid bulk carriers",0.6597,,,15,,,8247,,,12442,,,,,"Not available or not separately reported",158536,,,318227,,,,,"Not available or not separately reported"
2021,752,"Sweden",07,"Liquefied petroleum gas carriers",0.8069,,,15,,,7451,,,8235,,,,,"Not available or not separately reported",50468,,,55250,,,,,"Not available or not separately reported"
2021,752,"Sweden",08,"Liquefied natural gas carriers",0.7069,,,7,,,13161,,,10073,,,,,"Not available or not separately reported",22887,,,20916,,,,,"Not available or not separately reported"
2021,752,"Sweden",05,"Dry bulk carriers",0.4535,,,26,,,6370,,,9558,,,,,"Not available or not separately reported",49445,,,87091,,,,,"Not available or not separately reported"
2021,752,"Sweden",04,"Dry breakbulk carriers",1.0083,,,22,,,3791,,,5350,,,,,"Not available or not separately reported",37499,,,55807,,,,,"Not available or not separately reported"
2021,752,"Sweden",06,"Roll-on/ roll-off ships",,,"Not available or not separately reported",20,,,27417,,,10298,,,,,"Not available or not separately reported",76420,,,34960,,,,,"Not available or not separately reported"
2021,752,"Sweden",03,"Container ships",0.659,,,16,,,17014,,,,,"Not available or not separately reported",1579,,,214286,,,,,"Not available or not separately reported",19630,,
2021,752,"Sweden",01,"Passenger ships",,,"Not available or not separately reported",26,,,20351,,,,,"Not available or not separately reported",,,"Not available or not separately reported",153516,,,,,"Not available or not separately reported",,,"Not available or not separately reported"
2021,792,"Türkiye",00,"All ships",1.2139,,,24,,,5561,,,16857,,,2969,,,232618,,,318824,,,23756,,
2021,792,"Türkiye",02,"Liquid bulk carriers",1.1653,,,14,,,18755,,,32460,,,,,"Not available or not separately reported",161045,,,318824,,,,,"Not available or not separately reported"
2021,792,"Türkiye",07,"Liquefied petroleum gas carriers",1.2069,,,19,,,16159,,,18663,,,,,"Not available or not separately reported",48825,,,58691,,,,,"Not available or not separately reported"
2021,792,"Türkiye",08,"Liquefied natural gas carriers",1.2278,,,9,,,110745,,,88091,,,,,"Not available or not separately reported",141671,,,121843,,,,,"Not available or not separately reported"
2021,792,"Türkiye",05,"Dry bulk carriers",3.8965,,,16,,,24835,,,42733,,,,,"Not available or not separately reported",109716,,,211182,,,,,"Not available or not separately reported"
2021,792,"Türkiye",04,"Dry breakbulk carriers",1.5375,,,29,,,4135,,,5775,,,,,"Not available or not separately reported",51065,,,72148,,,,,"Not available or not separately reported"
2021,792,"Türkiye",06,"Roll-on/ roll-off ships",,,"Not available or not separately reported",24,,,26995,,,10578,,,,,"Not available or not separately reported",76420,,,45200,,,,,"Not available or not separately reported"
2021,792,"Türkiye",03,"Container ships",0.6326,,,17,,,32607,,,,,"Not available or not separately reported",2969,,,232618,,,,,"Not available or not separately reported",23756,,
2021,792,"Türkiye",01,"Passenger ships",,,"Not available or not separately reported",25,,,1638,,,,,"Not available or not separately reported",,,"Not available or not separately reported",153516,,,,,"Not available or not separately reported",,,"Not available or not separately reported"
2021,926,"United Kingdom",00,"All ships",1.1632,,,18,,,14293,,,12125,,,3114,,,236583,,,321300,,,23992,,
