Year,Economy,Economy Label,CommercialMarket,CommercialMarket Label,Median time in port (days),Median time in port (days) Footnote,Median time in port (days) Missing value,Average age of vessels (years),Average age of vessels (years) Footnote,Average age of vessels (years) Missing value,Average size (GT) of vessels,Average size (GT) of vessels Footnote,Average size (GT) of vessels Missing value,Average cargo carrying capacity (dwt) per vessel,Average cargo carrying capacity (dwt) per vessel Footnote,Average cargo carrying capacity (dwt) per vessel Missing value,Average container carrying capacity (TEU) per container ship,Average container carrying capacity (TEU) per container ship Footnote,Average container carrying capacity (TEU) per container ship Missing value,Maximum size (GT) of vessels,Maximum size (GT) of vessels Footnote,Maximum size (GT) of vessels Missing value,Maximum cargo carrying capacity (dwt) of vessels,Maximum cargo carrying capacity (dwt) of vessels Footnote,Maximum cargo carrying capacity (dwt) of vessels Missing value,Maximum container carrying capacity (TEU) of container ships,Maximum container carrying capacity (TEU) of container ships Footnote,Maximum container carrying capacity (TEU) of container ships Missing value
2018,124,"Canada",03,"Container ships",1.49,,,12,,,57740,,,,,"Not available or not separately reported",5185,,,154300,,,,,"Not available or not separately reported",14568,,
2018,124,"Canada",01,"Passenger ships",,,"Not available or not separately reported",27,,,8948,,,,,"Not available or not separately reported",,,"Not available or not separately reported",168666,,,,,"Not available or not separately reported",,,"Not available or not separately reported"
2018,156,"China",00,"All ships",1.02,,,12,,,32362,,,44290,,,4645,,,217673,,,404389,,,21413,,
2018,156,"China",02,"Liquid bulk carriers",1.1,,,10,,,19514,,,34087,,,,,"Not available or not separately reported",172146,,,323527,,,,,"Not available or not separately reported"
2018,156,"China",07,"Liquefied petroleum gas carriers",1,,,12,,,9873,,,10939,,,,,"Not available or not separately reported",58100,,,64220,,,,,"Not available or not separately reported"
2018,156,"China",08,"Liquefied natural gas carriers",1.21,,,9,,,102730,,,83166,,,,,"Not available or not separately reported",168189,,,155159,,,,,"Not available or not separately reported"
2018,156,"China",05,"Dry bulk carriers",2,,,11,,,40984,,,74512,,,,,"Not available or not separately reported",203483,,,404389,,,,,"Not available or not separately reported"
2018,156,"China",04,"Dry breakbulk carriers",1.17,,,15,,,10073,,,14487,,,,,"Not available or not separately reported",91784,,,138743,,,,,"Not available or not separately reported"
2018,156,"China",06,"Roll-on/ roll-off ships",,,"Not available or not separately reported",14,,,29658,,,9806,,,,,"Not available or not separately reported",77000,,,43878,,,,,"Not available or not separately reported"
2018,156,"China",03,"Container ships",0.62,,,11,,,50155,,,,,"Not available or not separately reported",4645,,,217673,,,,,"Not available or not separately reported",21413,,
2018,156,"China",01,"Passenger ships",,,"Not available or not separately reported",10,,,17597,,,,,"Not available or not separately reported",,,"Not available or not separately reported",168666,,,,,"Not available or not separately reported",,,"Not available or not separately reported"
2018,191,"Croatia",00,"All ships",1.2,,,15,,,3981,,,16967,,,3592,,,160534,,,299999,,,13100,,
2018,191,"Croatia",02,"Liquid bulk carriers",1.04,,,13,,,17864,,,31278,,,,,"Not available or not separately reported",160534,,,299999,,,,,"Not available or not separately reported"
2018,191,"Croatia",05,"Dry bulk carriers",1.81,,,33,,,9704,,,16749,,,,,"Not available or not separately reported",93360,,,182060,,,,,"Not available or not separately reported"
2018,191,"Croatia",04,"Dry breakbulk carriers",2.63,,,21,,,4750,,,6369,,,,,"Not available or not separately reported",32333,,,44993,,,,,"Not available or not separately reported"
2018,191,"Croatia",03,"Container ships",0.59,,,12,,,39567,,,,,"Not available or not separately reported",3592,,,143521,,,,,"Not available or not separately reported",13100,,
2018,191,"Croatia",01,"Passenger ships",,,"Not available or not separately reported",15,,,3609,,,,,"Not available or not separately reported",,,"Not available or not separately reported",133596,,,,,"Not available or not separately reported",,,"Not available or not separately reported"
2018,208,"Denmark",00,"All ships",0.74,,,18,,,9777,,,7455,,,1942,,,214286,,,299991,,,19630,,
2018,208,"Denmark",02,"Liquid bulk carriers",0.65,,,16,,,8100,,,12998,,,,,"Not available or not separately reported",156919,,,299991,,,,,"Not available or not separately reported"
2018,208,"Denmark",07,"Liquefied petroleum gas carriers",1.07,,,12,,,4690,,,5045,,,,,"Not available or not separately reported",27546,,,27037,,,,,"Not available or not separately reported"
2018,208,"Denmark",05,"Dry bulk carriers",0.87,,,29,,,9528,,,15216,,,,,"Not available or not separately reported",65950,,,118863,,,,,"Not available or not separately reported"
2018,208,"Denmark",04,"Dry breakbulk carriers",0.84,,,23,,,3051,,,4150,,,,,"Not available or not separately reported",24778,,,37534,,,,,"Not available or not separately reported"
2018,208,"Denmark",06,"Roll-on/ roll-off ships",,,"Not available or not separately reported",18,,,20778,,,11935,,,,,"Not available or not separately reported",52485,,,24485,,,,,"Not available or not separately reported"
2018,208,"Denmark",03,"Container ships",0.49,,,13,,,21242,,,,,"Not available or not separately reported",1942,,,214286,,,,,"Not available or not separately reported",19630,,
2018,208,"Denmark",01,"Passenger ships",,,"Not available or not separately reported",18,,,10116,,,,,"Not available or not separately reported",,,"Not available or not separately reported",145655,,,,,"Not available or not separately reported",,,"Not available or not separately reported"
2018,251,"France",00,"All ships",1.11,,,16,,,23182,,,17614,,,5017,,,228081,,,323183,,,20776,,
2018,251,"France",02,"Liquid bulk carriers",1.06,,,12,,,13320,,,22742,,,,,"Not available or not separately reported",166308,,,323183,,,,,"Not available or not separately reported"
2018,251,"France",07,"Liquefied petroleum gas carriers",1.07,,,11,,,8026,,,8836,,,,,"Not available or not separately reported",48456,,,55066,,,,,"Not available or not separately reported"
2018,251,"France",08,"Liquefied natural gas carriers",1.2,,,8,,,101383,,,79032,,,,,"Not available or not separately reported",163922,,,130441,,,,,"Not available or not separately reported"
2018,251,"France",05,"Dry bulk carriers",3.14,,,12,,,27522,,,48791,,,,,"Not available or not separately reported",94710,,,181458,,,,,"Not available or not separately reported"
2018,251,"France",04,"Dry breakbulk carriers",1.5,,,15,,,4662,,,6518,,,,,"Not available or not separately reported",40322,,,81279,,,,,"Not available or not separately reported"
2018,251,"France",06,"Roll-on/ roll-off ships",,,"Not available or not separately reported",15,,,28503,,,11428,,,,,"Not available or not separately reported",77000,,,46705,,,,,"Not available or not separately reported"
2018,251,"France",03,"Container ships",0.75,,,12,,,55654,,,,,"Not available or not separately reported",5017,,,217673,,,,,"Not available or not separately reported",20776,,
2018,251,"France",01,"Passenger ships",,,"Not available or not separately reported",17,,,24168,,,,,"Not available or not separately reported",,,"Not available or not separately reported",228081,,,,,"Not available or not separately reported",,,"Not available or not separately reported"
2018,276,"Germany",00,"All ships",0.56,,,18,,,13449,,,8454,,,3901,,,217673,,,317106,,,21413,,
2018,276,"Germany",02,"Liquid bulk carriers",0.36,,,18,,,4428,,,7437,,,,,"Not available or not separately reported",160278,,,317106,,,,,"Not available or not separately reported"
2018,276,"Germany",07,"Liquefied petroleum gas carriers",0.75,,,12,,,4983,,,5474,,,,,"Not available or not separately reported",35853,,,42937,,,,,"Not available or not separately reported"
2018,276,"Germany",05,"Dry bulk carriers",2.48,,,12,,,29434,,,51933,,,,,"Not available or not separately reported",108237,,,209177,,,,,"Not available or not separately reported"
2018,276,"Germany",04,"Dry breakbulk carriers",0.5,,,20,,,3507,,,4753,,,,,"Not available or not separately reported",71543,,,72924,,,,,"Not available or not separately reported"
2018,276,"Germany",06,"Roll-on/ roll-off ships",,,"Not available or not separately reported",14,,,29040,,,12056,,,,,"Not available or not separately reported",100430,,,55828,,,,,"Not available or not separately reported"
2018,276,"Germany",03,"Container ships",0.79,,,11,,,42651,,,,,"Not available or not separately reported",3901,,,217673,,,,,"Not available or not separately reported",21413,,
2018,276,"Germany",01,"Passenger ships",,,"Not available or not separately reported",19,,,12180,,,,,"Not available or not separately reported",,,"Not available or not separately reported",183200,,,,,"Not available or not separately reported",,,"Not available or not separately reported"
2018,300,"Greece",00,"All ships",0.71,,,20,,,8526,,,7365,,,3754,,,217617,,,320051,,,21237,,
2018,300,"Greece",02,"Liquid bulk carriers",0.54,,,22,,,5301,,,8444,,,,,"Not available or not separately reported",161235,,,320051,,,,,"Not available or not separately reported"
2018,300,"Greece",07,"Liquefied petroleum gas carriers",0.88,,,25,,,4616,,,5267,,,,,"Not available or not separately reported",20151,,,24136,,,,,"Not available or not separately reported"
2018,300,"Greece",08,"Liquefied natural gas carriers",0.99,,,20,,,73812,,,64140,,,,,"Not available or not separately reported",113664,,,93301,,,,,"Not available or not separately reported"
2018,300,"Greece",05,"Dry bulk carriers",0.35,,,25,,,5792,,,9656,,,,,"Not available or not separately reported",63864,,,114167,,,,,"Not available or not separately reported"
2018,300,"Greece",04,"Dry breakbulk carriers",1.07,,,31,,,2768,,,3861,,,,,"Not available or not separately reported",31920,,,55683,,,,,"Not available or not separately reported"
2018,300,"Greece",06,"Roll-on/ roll-off ships",,,"Not available or not separately reported",32,,,19239,,,8260,,,,,"Not available or not separately reported",77000,,,48988,,,,,"Not available or not separately reported"
2018,300,"Greece",03,"Container ships",0.95,,,14,,,40706,,,,,"Not available or not separately reported",3754,,,217617,,,,,"Not available or not separately reported",21237,,
2018,300,"Greece",01,"Passenger ships",,,"Not available or not separately reported",19,,,8000,,,,,"Not available or not separately reported",,,"Not available or not separately reported",138279,,,,,"Not available or not separately reported",,,"Not available or not separately reported"
2018,360,"Indonesia",00,"All ships",1.34,,,20,,,8135,,,17303,,,1440,,,150695,,,209956,,,13100,,
2018,360,"Indonesia",02,"Liquid bulk carriers",1.28,,,15,,,8199,,,12733,,,,,"Not available or not separately reported",76216,,,126646,,,,,"Not available or not separately reported"
2018,360,"Indonesia",07,"Liquefied petroleum gas carriers",1.13,,,19,,,9455,,,10620,,,,,"Not available or not separately reported",49292,,,58814,,,,,"Not available or not separately reported"
2018,360,"Indonesia",08,"Liquefied natural gas carriers",1.38,,,19,,,91139,,,69996,,,,,"Not available or not separately reported",133612,,,96703,,,,,"Not available or not separately reported"
2018,360,"Indonesia",05,"Dry bulk carriers",3.55,,,16,,,26071,,,46019,,,,,"Not available or not separately reported",107684,,,209956,,,,,"Not available or not separately reported"
2018,360,"Indonesia",04,"Dry breakbulk carriers",1.26,,,19,,,5030,,,6460,,,,,"Not available or not separately reported",46515,,,72562,,,,,"Not available or not separately reported"
2018,360,"Indonesia",06,"Roll-on/ roll-off ships",,,"Not available or not separately reported",31,,,8841,,,3799,,,,,"Not available or not separately reported",69931,,,21423,,,,,"Not available or not separately reported"
2018,360,"Indonesia",03,"Container ships",1.09,,,14,,,15430,,,,,"Not available or not separately reported",1440,,,141635,,,,,"Not available or not separately reported",13100,,
2018,360,"Indonesia",01,"Passenger ships",,,"Not available or not separately reported",22,,,5096,,,,,"Not available or not separately reported",,,"Not available or not separately reported",150695,,,,,"Not available or not separately reported",,,"Not available or not separately reported"
2018,380,"Italy",00,"All ships",1.25,,,27,,,10230,,,18793,,,3693,,,228081,,,319300,,,18400,,
2018,380,"Italy",02,"Liquid bulk carriers",1.29,,,16,,,17196,,,29280,,,,,"Not available or not separately reported",162543,,,319300,,,,,"Not available or not separately reported"
2018,380,"Italy",07,"Liquefied petroleum gas carriers",1.44,,,13,,,8630,,,9913,,,,,"Not available or not separately reported",27546,,,28500,,,,,"Not available or not separately reported"
2018,380,"Italy",05,"Dry bulk carriers",3.55,,,13,,,24040,,,41564,,,,,"Not available or not separately reported",151915,,,313049,,,,,"Not available or not separately reported"
2018,380,"Italy",04,"Dry breakbulk carriers",1.93,,,18,,,6081,,,8422,,,,,"Not available or not separately reported",46295,,,81279,,,,,"Not available or not separately reported"
2018,380,"Italy",06,"Roll-on/ roll-off ships",,,"Not available or not separately reported",13,,,30019,,,12387,,,,,"Not available or not separately reported",77000,,,48988,,,,,"Not available or not separately reported"
2018,380,"Italy",03,"Container ships",0.82,,,14,,,40870,,,,,"Not available or not separately reported",3693,,,194849,,,,,"Not available or not separately reported",18400,,
2018,380,"Italy",01,"Passenger ships",,,"Not available or not separately reported",30,,,7416,,,,,"Not available or not separately reported",,,"Not available or not separately reported",228081,,,,,"Not available or not separately reported",,,"Not available or not separately reported"
2018,392,"Japan",00,"All ships",0.41,,,14,,,11586,,,15156,,,1650,,,217617,,,402347,,,20388,,
2018,392,"Japan",02,"Liquid bulk carriers",0.31,,,12,,,7913,,,13474,,,,,"Not available or not separately reported",166093,,,323182,,,,,"Not available or not separately reported"
2018,392,"Japan",07,"Liquefied petroleum gas carriers",0.32,,,16,,,6011,,,6575,,,,,"Not available or not separately reported",48963,,,58899,,,,,"Not available or not separately reported"
2018,392,"Japan",08,"Liquefied natural gas carriers",0.99,,,13,,,75696,,,54400,,,,,"Not available or not separately reported",163922,,,130171,,,,,"Not available or not separately reported"
2018,392,"Japan",05,"Dry bulk carriers",0.9,,,14,,,17830,,,31350,,,,,"Not available or not separately reported",203403,,,402347,,,,,"Not available or not separately reported"
2018,392,"Japan",04,"Dry breakbulk carriers",1.12,,,14,,,6559,,,8765,,,,,"Not available or not separately reported",49720,,,138743,,,,,"Not available or not separately reported"
2018,392,"Japan",06,"Roll-on/ roll-off ships",,,"Not available or not separately reported",12,,,18953,,,7860,,,,,"Not available or not separately reported",77000,,,43878,,,,,"Not available or not separately reported"
2018,392,"Japan",03,"Container ships",0.35,,,12,,,17334,,,,,"Not available or not separately reported",1650,,,217617,,,,,"Not available or not separately reported",20388,,
2018,392,"Japan",01,"Passenger ships",,,"Not available or not separately reported",15,,,6414,,,,,"Not available or not separately reported",,,"Not available or not separately reported",168666,,,,,"Not available or not separately reported",,,"Not available or not separately reported"
2018,410,"Korea, Republic of",00,"All ships",0.79,,,15,,,20316,,,21384,,,2884,,,217673,,,327095,,,20776,,
